año,municipio,geocode,ocupacion,num_casos
2021,Arona,20210101_38006_D01_S002,No consta,21
2021,Arona,20210101_38006_D01_S002,Ocupaciones elementales,128
2021,Arona,20210101_38006_D01_S002,Trabajadores cualificados y oficiales/operarios de nivel bajo,408
2021,Arona,20210101_38006_D01_S003,Directores/gerentes y profesionales/técnicos de nivel medio o alto,200
2021,Arona,20210101_38006_D01_S003,No consta,34
2021,Arona,20210101_38006_D01_S003,Ocupaciones elementales,206
2021,Arona,20210101_38006_D01_S003,Trabajadores cualificados y oficiales/operarios de nivel bajo,691
2021,Arona,20210101_38006_D01_S004,Directores/gerentes y profesionales/técnicos de nivel medio o alto,126
2021,Arona,20210101_38006_D01_S004,No consta,34
2021,Arona,20210101_38006_D01_S004,Ocupaciones elementales,230
2021,Arona,20210101_38006_D01_S004,Trabajadores cualificados y oficiales/operarios de nivel bajo,569
2021,Arona,20210101_38006_D01_S005,Directores/gerentes y profesionales/técnicos de nivel medio o alto,113
2021,Arona,20210101_38006_D01_S005,No consta,22
2021,Arona,20210101_38006_D01_S005,Ocupaciones elementales,143
2021,Arona,20210101_38006_D01_S005,Trabajadores cualificados y oficiales/operarios de nivel bajo,506
2021,Arona,20210101_38006_D01_S006,Directores/gerentes y profesionales/técnicos de nivel medio o alto,129
2021,Arona,20210101_38006_D01_S006,No consta,32
2021,Arona,20210101_38006_D01_S006,Ocupaciones elementales,66
2021,Arona,20210101_38006_D01_S006,Trabajadores cualificados y oficiales/operarios de nivel bajo,382
2021,Arona,20210101_38006_D01_S007,Directores/gerentes y profesionales/técnicos de nivel medio o alto,64
2021,Arona,20210101_38006_D01_S007,No consta,16
2021,Arona,20210101_38006_D01_S007,Ocupaciones elementales,265
2021,Arona,20210101_38006_D01_S007,Trabajadores cualificados y oficiales/operarios de nivel bajo,330
2021,Arona,20210101_38006_D01_S008,Directores/gerentes y profesionales/técnicos de nivel medio o alto,118
2021,Arona,20210101_38006_D01_S008,No consta,22
2021,Arona,20210101_38006_D01_S008,Ocupaciones elementales,159
2021,Arona,20210101_38006_D01_S008,Trabajadores cualificados y oficiales/operarios de nivel bajo,427
2021,Arona,20210101_38006_D01_S009,Directores/gerentes y profesionales/técnicos de nivel medio o alto,169
2021,Arona,20210101_38006_D01_S009,No consta,22
